	identifier	speaker	split	label	file
0	5_theo_23	theo	TRAIN	5	speech_data/5_theo_23.wav
1	2_yweweler_39	yweweler	TEST	2	speech_data/2_yweweler_39.wav
2	6_yweweler_34	yweweler	DEV	6	speech_data/6_yweweler_34.wav
3	6_yweweler_16	yweweler	DEV	6	speech_data/6_yweweler_16.wav
4	9_yweweler_2	yweweler	TEST	9	speech_data/9_yweweler_2.wav
5	1_yweweler_23	yweweler	TEST	1	speech_data/1_yweweler_23.wav
6	4_george_11	george	TRAIN	4	speech_data/4_george_11.wav
7	8_george_18	george	TRAIN	8	speech_data/8_george_18.wav
8	8_george_13	george	TRAIN	8	speech_data/8_george_13.wav
9	2_nicolas_16	nicolas	TRAIN	2	speech_data/2_nicolas_16.wav
10	5_george_26	george	TRAIN	5	speech_data/5_george_26.wav
11	9_yweweler_27	yweweler	DEV	9	speech_data/9_yweweler_27.wav
12	8_theo_5	theo	TRAIN	8	speech_data/8_theo_5.wav
13	1_theo_18	theo	TRAIN	1	speech_data/1_theo_18.wav
14	6_lucas_14	lucas	TEST	6	speech_data/6_lucas_14.wav
15	9_yweweler_10	yweweler	DEV	9	speech_data/9_yweweler_10.wav
16	8_yweweler_16	yweweler	DEV	8	speech_data/8_yweweler_16.wav
17	8_nicolas_44	nicolas	TRAIN	8	speech_data/8_nicolas_44.wav
18	3_george_9	george	TRAIN	3	speech_data/3_george_9.wav
19	9_lucas_41	lucas	DEV	9	speech_data/9_lucas_41.wav
20	9_yweweler_7	yweweler	DEV	9	speech_data/9_yweweler_7.wav
21	0_lucas_2	lucas	TEST	0	speech_data/0_lucas_2.wav
22	1_george_34	george	TRAIN	1	speech_data/1_george_34.wav
23	1_yweweler_21	yweweler	DEV	1	speech_data/1_yweweler_21.wav
24	6_yweweler_48	yweweler	DEV	6	speech_data/6_yweweler_48.wav
25	0_george_13	george	TRAIN	0	speech_data/0_george_13.wav
26	2_jackson_22	jackson	TRAIN	2	speech_data/2_jackson_22.wav
27	1_nicolas_36	nicolas	TRAIN	1	speech_data/1_nicolas_36.wav
28	9_george_49	george	TRAIN	9	speech_data/9_george_49.wav
29	8_george_36	george	TRAIN	8	speech_data/8_george_36.wav
30	7_theo_26	theo	TRAIN	7	speech_data/7_theo_26.wav
31	4_theo_48	theo	TRAIN	4	speech_data/4_theo_48.wav
32	7_george_22	george	TRAIN	7	speech_data/7_george_22.wav
33	7_nicolas_24	nicolas	TRAIN	7	speech_data/7_nicolas_24.wav
34	4_nicolas_36	nicolas	TRAIN	4	speech_data/4_nicolas_36.wav
35	3_nicolas_2	nicolas	TRAIN	3	speech_data/3_nicolas_2.wav
36	9_theo_18	theo	TRAIN	9	speech_data/9_theo_18.wav
37	5_nicolas_38	nicolas	TRAIN	5	speech_data/5_nicolas_38.wav
38	4_theo_33	theo	TRAIN	4	speech_data/4_theo_33.wav
39	3_nicolas_32	nicolas	TRAIN	3	speech_data/3_nicolas_32.wav
40	9_lucas_43	lucas	TEST	9	speech_data/9_lucas_43.wav
41	5_george_42	george	TRAIN	5	speech_data/5_george_42.wav
42	8_theo_9	theo	TRAIN	8	speech_data/8_theo_9.wav
43	7_nicolas_25	nicolas	TRAIN	7	speech_data/7_nicolas_25.wav
44	2_lucas_36	lucas	DEV	2	speech_data/2_lucas_36.wav
45	5_lucas_12	lucas	DEV	5	speech_data/5_lucas_12.wav
46	5_theo_21	theo	TRAIN	5	speech_data/5_theo_21.wav
47	4_george_40	george	TRAIN	4	speech_data/4_george_40.wav
48	5_lucas_17	lucas	DEV	5	speech_data/5_lucas_17.wav
49	3_lucas_21	lucas	TEST	3	speech_data/3_lucas_21.wav
50	3_george_5	george	TRAIN	3	speech_data/3_george_5.wav
51	1_jackson_14	jackson	TRAIN	1	speech_data/1_jackson_14.wav
52	5_nicolas_31	nicolas	TRAIN	5	speech_data/5_nicolas_31.wav
53	8_nicolas_34	nicolas	TRAIN	8	speech_data/8_nicolas_34.wav
54	0_nicolas_16	nicolas	TRAIN	0	speech_data/0_nicolas_16.wav
55	7_yweweler_16	yweweler	TEST	7	speech_data/7_yweweler_16.wav
56	1_george_49	george	TRAIN	1	speech_data/1_george_49.wav
57	0_jackson_41	jackson	TRAIN	0	speech_data/0_jackson_41.wav
58	5_lucas_47	lucas	TEST	5	speech_data/5_lucas_47.wav
59	8_george_28	george	TRAIN	8	speech_data/8_george_28.wav
60	1_yweweler_42	yweweler	TEST	1	speech_data/1_yweweler_42.wav
61	0_jackson_37	jackson	TRAIN	0	speech_data/0_jackson_37.wav
62	8_jackson_5	jackson	TRAIN	8	speech_data/8_jackson_5.wav
63	5_jackson_0	jackson	TRAIN	5	speech_data/5_jackson_0.wav
64	3_nicolas_5	nicolas	TRAIN	3	speech_data/3_nicolas_5.wav
65	9_theo_46	theo	TRAIN	9	speech_data/9_theo_46.wav
66	3_george_31	george	TRAIN	3	speech_data/3_george_31.wav
67	3_lucas_25	lucas	DEV	3	speech_data/3_lucas_25.wav
68	4_lucas_47	lucas	TEST	4	speech_data/4_lucas_47.wav
69	2_yweweler_5	yweweler	DEV	2	speech_data/2_yweweler_5.wav
70	6_yweweler_7	yweweler	TEST	6	speech_data/6_yweweler_7.wav
71	4_lucas_25	lucas	DEV	4	speech_data/4_lucas_25.wav
72	9_george_28	george	TRAIN	9	speech_data/9_george_28.wav
73	6_george_47	george	TRAIN	6	speech_data/6_george_47.wav
74	8_jackson_34	jackson	TRAIN	8	speech_data/8_jackson_34.wav
75	0_lucas_31	lucas	DEV	0	speech_data/0_lucas_31.wav
76	7_theo_42	theo	TRAIN	7	speech_data/7_theo_42.wav
77	0_george_41	george	TRAIN	0	speech_data/0_george_41.wav
78	2_yweweler_26	yweweler	TEST	2	speech_data/2_yweweler_26.wav
79	6_theo_18	theo	TRAIN	6	speech_data/6_theo_18.wav
80	3_george_6	george	TRAIN	3	speech_data/3_george_6.wav
81	1_lucas_45	lucas	TEST	1	speech_data/1_lucas_45.wav
82	7_nicolas_23	nicolas	TRAIN	7	speech_data/7_nicolas_23.wav
83	7_george_37	george	TRAIN	7	speech_data/7_george_37.wav
84	7_theo_23	theo	TRAIN	7	speech_data/7_theo_23.wav
85	7_jackson_46	jackson	TRAIN	7	speech_data/7_jackson_46.wav
86	2_lucas_15	lucas	DEV	2	speech_data/2_lucas_15.wav
87	9_lucas_33	lucas	TEST	9	speech_data/9_lucas_33.wav
88	5_jackson_7	jackson	TRAIN	5	speech_data/5_jackson_7.wav
89	7_george_0	george	TRAIN	7	speech_data/7_george_0.wav
90	8_theo_6	theo	TRAIN	8	speech_data/8_theo_6.wav
91	6_nicolas_14	nicolas	TRAIN	6	speech_data/6_nicolas_14.wav
92	2_yweweler_35	yweweler	TEST	2	speech_data/2_yweweler_35.wav
93	4_theo_49	theo	TRAIN	4	speech_data/4_theo_49.wav
94	3_jackson_21	jackson	TRAIN	3	speech_data/3_jackson_21.wav
95	1_nicolas_26	nicolas	TRAIN	1	speech_data/1_nicolas_26.wav
96	3_jackson_18	jackson	TRAIN	3	speech_data/3_jackson_18.wav
97	0_yweweler_41	yweweler	DEV	0	speech_data/0_yweweler_41.wav
98	9_yweweler_22	yweweler	DEV	9	speech_data/9_yweweler_22.wav
99	6_jackson_28	jackson	TRAIN	6	speech_data/6_jackson_28.wav
100	4_theo_22	theo	TRAIN	4	speech_data/4_theo_22.wav
101	7_nicolas_39	nicolas	TRAIN	7	speech_data/7_nicolas_39.wav
102	6_yweweler_38	yweweler	TEST	6	speech_data/6_yweweler_38.wav
103	2_lucas_23	lucas	DEV	2	speech_data/2_lucas_23.wav
104	4_nicolas_0	nicolas	TRAIN	4	speech_data/4_nicolas_0.wav
105	2_george_43	george	TRAIN	2	speech_data/2_george_43.wav
106	7_yweweler_26	yweweler	TEST	7	speech_data/7_yweweler_26.wav
107	9_jackson_42	jackson	TRAIN	9	speech_data/9_jackson_42.wav
108	0_yweweler_45	yweweler	DEV	0	speech_data/0_yweweler_45.wav
109	8_jackson_10	jackson	TRAIN	8	speech_data/8_jackson_10.wav
110	0_nicolas_22	nicolas	TRAIN	0	speech_data/0_nicolas_22.wav
111	8_theo_18	theo	TRAIN	8	speech_data/8_theo_18.wav
112	2_theo_7	theo	TRAIN	2	speech_data/2_theo_7.wav
113	4_lucas_19	lucas	TEST	4	speech_data/4_lucas_19.wav
114	4_yweweler_48	yweweler	TEST	4	speech_data/4_yweweler_48.wav
115	1_george_26	george	TRAIN	1	speech_data/1_george_26.wav
116	3_lucas_43	lucas	DEV	3	speech_data/3_lucas_43.wav
117	1_lucas_10	lucas	DEV	1	speech_data/1_lucas_10.wav
118	2_theo_13	theo	TRAIN	2	speech_data/2_theo_13.wav
119	6_jackson_32	jackson	TRAIN	6	speech_data/6_jackson_32.wav
120	5_nicolas_3	nicolas	TRAIN	5	speech_data/5_nicolas_3.wav
121	7_george_10	george	TRAIN	7	speech_data/7_george_10.wav
122	4_george_30	george	TRAIN	4	speech_data/4_george_30.wav
123	5_lucas_33	lucas	TEST	5	speech_data/5_lucas_33.wav
124	0_lucas_47	lucas	DEV	0	speech_data/0_lucas_47.wav
125	4_george_6	george	TRAIN	4	speech_data/4_george_6.wav
126	2_jackson_33	jackson	TRAIN	2	speech_data/2_jackson_33.wav
127	9_nicolas_27	nicolas	TRAIN	9	speech_data/9_nicolas_27.wav
128	4_george_19	george	TRAIN	4	speech_data/4_george_19.wav
129	2_theo_17	theo	TRAIN	2	speech_data/2_theo_17.wav
130	4_george_41	george	TRAIN	4	speech_data/4_george_41.wav
131	6_george_45	george	TRAIN	6	speech_data/6_george_45.wav
132	2_theo_29	theo	TRAIN	2	speech_data/2_theo_29.wav
133	4_lucas_36	lucas	TEST	4	speech_data/4_lucas_36.wav
134	4_jackson_31	jackson	TRAIN	4	speech_data/4_jackson_31.wav
135	8_nicolas_46	nicolas	TRAIN	8	speech_data/8_nicolas_46.wav
136	1_nicolas_4	nicolas	TRAIN	1	speech_data/1_nicolas_4.wav
137	6_nicolas_28	nicolas	TRAIN	6	speech_data/6_nicolas_28.wav
138	7_george_40	george	TRAIN	7	speech_data/7_george_40.wav
139	2_jackson_12	jackson	TRAIN	2	speech_data/2_jackson_12.wav
140	9_jackson_22	jackson	TRAIN	9	speech_data/9_jackson_22.wav
141	8_lucas_38	lucas	TEST	8	speech_data/8_lucas_38.wav
142	6_theo_21	theo	TRAIN	6	speech_data/6_theo_21.wav
143	0_jackson_46	jackson	TRAIN	0	speech_data/0_jackson_46.wav
